Outlook,Temperature,Humidity,Wind,Play Tennis,,,,,,,,,,
Sunny,Hot,High,Weak,No,,,,,,,,,,
Sunny,Hot,High,Strong,No,,,,,,,,,,
Overcast,Hot,High,Weak,Yes,,,Parent,0.9403,,,,,,
Rain,Mild,High,Weak,Yes,,,,,,,,,,
Rain,Cool,Normal,Weak,Yes,,,Temp,14,sample,pos,neg,entropy ,weighted,IG
Rain,Cool,Normal,Strong,No,,,hot,,4,0.5,0.5,1,,
Overcast,Cool,Normal,Strong,Yes,,,cool,,4,0.75,0.25,0.811278124,0.909619338,0.030680662
Sunny,Mild,High,Weak,No,,,mild,,6,0.67,0.33,0.914926373,,
Sunny,Cool,Normal,Weak,Yes,,,,,,,,,,
Rain,Mild,Normal,Weak,Yes,,,,,,,,,,
Sunny,Mild,Normal,Strong,Yes,,,,,,,,,,
Overcast,Mild,High,Strong,Yes,,,,,,,,,,
Overcast,Hot,Normal,Weak,Yes,,,,,,,,,,
Rain,Mild,High,Strong,No,,,,,,,,,,
